height	'2400_I'	'2400_Q'
0	45281.167969	65479.621094
0.0999999999999999	43181.28125	66895.304688
0.199999999999999	41170.292969	67492.273438
0.3	39249.609375	67328.046875
0.399999999999999	37419.492188	66488.273438
0.5	35679.191406	65077.089844
0.6	34027.074219	63206.777344
0.7	32460.742188	60988.476562
0.799999999999999	30977.244141	58525.238281
0.9	29573.265625	55907.5703119999
1	28245.167969	53211.300781
1.09999999999999	26989.236328	50497.429688
1.19999999999999	25801.646484	47813.152344
1.3	24678.648438	45193.4335939999
1.39999999999999	23616.539062	42663.09375
1.5	22611.757812	40238.648438
1.59999999999999	21660.890625	37930.15625
1.7	20760.675781	35742.703125
1.79999999999999	19908.021484	33677.667969
1.9	19100.03125	31733.736328
2	18333.96875	29907.7578119999
2.1	17607.265625	28195.296875
2.19999999999999	16917.523438	26591.087891
2.29999999999999	16262.494141	25089.462891
2.39999999999999	15640.087891	23684.525391
2.5	15048.347656	22370.355469
2.6	14485.444336	21141.158203
2.69999999999999	13949.682617	19991.314453
2.79999899999999	13439.466797	18915.449219
2.89999899999999	12953.321289	17908.482422
2.99999899999999	12489.854492	16965.617188
3.09999899999999	12047.78125	16082.350586
3.199999	11625.900391	15254.508789
3.29999899999999	11223.075195	14478.1669919999
3.39999899999999	10838.259766	13749.699219
3.49999899999999	10470.4667969999	13065.75
3.59999899999999	10118.776367	12423.193359
3.699999	9782.325195	11819.148438
3.79999899999999	9460.304688	11250.945312
3.89999799999999	9151.953125	10716.119141
3.99999799999999	8856.566406	10212.382812
4.099998	8573.472656	9737.630859
4.19999799999999	8302.046875	9289.914062
4.29999799999999	8041.698242	8867.428711
4.399998	7791.875	8468.503906
4.49999799999999	7552.055176	8091.595215
4.59999799999999	7321.749512	7735.273926
4.69999799999999	7100.495117	7398.21533199999
4.79999799999999	6887.856934	7079.188477
4.899998	6683.42334	6777.058105
4.99999799999999	6486.809082	6490.76709
5.09999799999999	6297.646484	6219.331543
5.19999699999999	6115.59082	5961.841309
5.29999699999999	5940.31543	5717.44873
5.39999699999999	5771.510254	5485.36523399999
5.49999699999999	5608.88623	5264.85644499999
5.599997	5452.16210899999	5055.240723
5.69999699999999	5301.08203099999	4855.876953
5.79999699999999	5155.39355499999	4666.17334
5.89999699999999	5014.862305	4485.576172
5.99999699999999	4879.263672	4313.565918
6.099997	4748.39209	4149.65869099999
6.19999599999999	4622.039551	3993.401367
6.299996	4500.02002	3844.372314
6.39999599999999	4382.14941399999	3702.175293
6.49999599999999	4268.256348	3566.438232
6.59999599999999	4158.178223	3436.812012
6.69999599999999	4051.757568	3312.972656
6.79999599999999	3948.845947	3194.613037
6.89999599999999	3849.302002	3081.445801
6.99999599999999	3752.992432	2973.200928
7.09999599999999	3659.78833	2869.625
7.19999599999999	3569.569092	2770.477783
7.299995	3482.21582	2675.537354
7.39999499999999	3397.61792	2584.590576
7.49999499999999	3315.670166	2497.438477
7.59999499999999	3236.270264	2413.894531
7.69999499999999	3159.322266	2333.779785
7.799995	3084.735107	2256.928955
7.89999499999999	3012.41748	2183.184814
7.99999499999999	2942.288086	2112.396484
8.09999499999999	2874.263672	2044.42627
8.19999499999999	2808.268311	1979.139648
8.29999499999999	2744.229248	1916.411255
8.39999599999999	2682.074463	1856.122925
8.49999599999999	2621.736328	1798.162109
8.599997	2563.15014599999	1742.422119
8.69999699999999	2506.253906	1688.802612
8.79999699999999	2450.989502	1637.20752
8.899998	2397.298096	1587.547241
8.99999799999999	2345.126709	1539.734741
9.09999799999999	2294.42138699999	1493.689697
9.199999	2245.132324	1449.334106
9.29999899999999	2197.211426	1406.59509299999
9.4	2150.612305	1365.402588
9.5	2105.290527	1325.69043
9.59999999999999	2061.203369	1287.395508
9.700001	2018.309937	1250.458008
9.80000099999999	1976.570801	1214.82141099999
9.90000199999999	1935.94763199999	1180.430908
10.000002	1896.40490699999	1147.235596
10.100002	1857.90710399999	1115.185547
10.2000029999999	1820.419678	1084.234741
10.3000029999999	1783.911987	1054.338013
10.4000029999999	1748.350708	1025.45300299999
10.5000039999999	1713.707642	997.539734
10.600004	1679.953369	970.558777
10.7000049999999	1647.059814	944.473755
10.8000049999999	1615.00061	919.249512
