height	'4000_I'	'4000_Q'
0	81877.835938	79559.757812
0.0999999999999999	77717.1875	83446
0.199999999999999	73724.164062	85877.40625
0.3	69907.609375	86955.304688
0.399999999999999	66272.460938	86827.703125
0.5	62820.441406	85673.078125
0.6	59550.5625	83683.265625
0.7	56459.585938	81048
0.799999999999999	53542.453125	77943.195312
0.9	50792.925781	74523.578125
1	48203.742188	70919.25
1.09999999999999	45767.117188	67235.3828119999
1.19999999999999	43474.9882809999	63553.757812
1.3	41319.2070309999	59935.691406
1.39999999999999	39291.707031	56425.335938
1.5	37384.640625	53052.839844
1.59999999999999	35590.445312	49837.378906
1.7	33901.9140619999	46789.679688
1.79999999999999	32312.191406	43914.1367189999
1.9	30814.828125	41210.558594
2	29403.755859	38675.484375
2.1	28073.300781	36303.207031
2.19999999999999	26818.164062	34086.585938
2.29999999999999	25633.412109	32017.615234
2.39999999999999	24514.427734	30087.839844
2.5	23456.939453	28288.695312
2.6	22456.96875	26611.730469
2.69999999999999	21510.8261719999	25048.679688
2.79999899999999	20615.076172	23591.652344
2.89999899999999	19766.525391	22233.158203
2.99999899999999	18962.21875	20966.105469
3.09999899999999	18199.398438	19783.869141
3.199999	17475.515625	18680.269531
3.29999899999999	16788.185547	17649.552734
3.39999899999999	16135.191406	16686.365234
3.49999899999999	15514.483398	15785.766602
3.59999899999999	14924.141602	14943.189453
3.699999	14362.382812	14154.394531
3.79999899999999	13827.541016	13415.500977
3.89999799999999	13318.057617	12722.901367
3.99999799999999	12832.494141	12073.28125
4.099998	12369.485352	11463.579102
4.19999799999999	11927.779297	10890.973633
4.29999799999999	11506.189453	10352.867188
4.399998	11103.610352	9846.858398
4.49999799999999	10719.007812	9370.734375
4.59999799999999	10351.408203	8922.44335899999
4.69999799999999	9999.911133	8500.101562
4.79999799999999	9663.660156	8101.965332
4.899998	9341.851562	7726.419922
4.99999799999999	9033.746094	7371.97168
5.09999799999999	8738.630859	7037.241699
5.19999699999999	8455.842773	6720.946289
5.29999699999999	8184.763672	6421.905273
5.39999699999999	7924.805176	6139.016602
5.49999699999999	7675.41162099999	5871.261719
5.599997	7436.070312	5617.695312
5.69999699999999	7206.287598	5377.435547
5.79999699999999	6985.59863299999	5149.666016
5.89999699999999	6773.571289	4933.628906
5.99999699999999	6569.791992	4728.611328
6.099997	6373.87402299999	4533.958984
6.19999599999999	6185.446289	4349.05761699999
6.299996	6004.16748	4173.331543
6.39999599999999	5829.702637	4006.24975599999
6.49999599999999	5661.748047	3847.3125
6.59999599999999	5500.003418	3696.053223
6.69999599999999	5344.193359	3552.037598
6.79999599999999	5194.052734	3414.858887
6.89999599999999	5049.333984	3284.13500999999
6.99999599999999	4909.79541	3159.510254
7.09999599999999	4775.21581999999	3040.648926
7.19999599999999	4645.379395	2927.239258
7.299995	4520.08447299999	2818.987793
7.39999499999999	4399.136719	2715.61791999999
7.49999499999999	4282.35449199999	2616.871582
7.59999499999999	4169.56347699999	2522.505615
7.69999499999999	4060.598145	2432.291504
7.799995	3955.299072	2346.014404
7.89999499999999	3853.519043	2263.473633
7.99999499999999	3755.114746	2184.47656199999
8.09999499999999	3659.949707	2108.845703
8.19999499999999	3567.89355499999	2036.41174299999
8.29999499999999	3478.823242	1967.016602
8.39999599999999	3392.621338	1900.509277
8.49999599999999	3309.176514	1836.749512
8.599997	3228.380127	1775.603394
8.69999699999999	3150.130371	1716.94397
8.79999699999999	3074.330322	1660.653564
8.899998	3000.88525399999	1606.618774
8.99999799999999	2929.708496	1554.73339799999
9.09999799999999	2860.712158	1504.896851
9.199999	2793.816895	1457.01355
9.29999899999999	2728.944092	1410.993896
9.4	2666.019287	1366.752441
9.5	2604.971924	1324.207764
9.59999999999999	2545.732666	1283.283691
9.700001	2488.23706099999	1243.907227
9.80000099999999	2432.421387	1206.009644
9.90000199999999	2378.22876	1169.525391
10.000002	2325.598877	1134.39196799999
10.100002	2274.478271	1100.551147
10.2000029999999	2224.812988	1067.946655
10.3000029999999	2176.553467	1036.525391
10.4000029999999	2129.650635	1006.236084
10.5000039999999	2084.058838	977.031311
10.600004	2039.732666	948.865479
10.7000049999999	1996.62988299999	921.694152999999
10.8000049999999	1954.708252	895.47699
10.900005	1913.929321	870.173278999999
11.0000059999999	1874.25415	845.746399
11.100006	1835.64721699999	822.160278
11.200006	1798.072754	799.380615
11.3000069999999	1761.496826	777.375243999999
11.4000069999999	1725.888184	756.112854
11.5000079999999	1691.214355	735.563721
